Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D17Mit39,pctFat,-0.442562820214286,0.0732186944288827,6.04439649827609,0,0
D9Mit1006,TV,-0.733842193796765,0.121413165175785,6.04417315646363,0,0
D9Mit90,STIFFNESS,-0.64572043314717,0.107490092523597,6.00725534779323,0,0
D9Mit90,body.weight,-0.554968369603649,0.0928500173560642,5.97704109710006,0,0
D11Mit2,cort.thick,0.524934255909272,0.0879422780517243,5.96907730318886,0,0
D11Mit213,Tb.N,0.225868899895227,0.0379184850797639,5.9566963031381,0,0
D8MIT75,cort.thick,0.432329183846647,0.0729528284736063,5.92614697596077,0,0
D9Mit90,Femur.Length,-0.581008979537685,0.0980725360559855,5.92427812008462,0,0
D9Mit90,endo.c,-0.68847723422882,0.116256905863314,5.9220330105661,0,0
D11Mit213,C.Th,0.445757545585735,0.0754532398958801,5.90773234125993,0,0
D1Mit236,pQCT.fem.dens,0.645895421945438,0.109393243735774,5.90434472813986,0,0
D4Mit42,BV.TV.TRABECULAR,0.360214326097828,0.0610860502112038,5.89683446306308,0,0
D11Mit2,BV.TV,0.567394819507023,0.0963993789875999,5.88587629366376,0,0
D4Mit42,ROI.L2.4.BMD,0.261040747752732,0.0443709237387479,5.88314882263251,0,0
D9Mit90,pctFat,-0.403402750258088,0.0686172989123708,5.87902404571859,0,0
D4Mit42,Tb.Th,0.410936558812203,0.0700435589004467,5.86687149058587,0,0
D9Mit151,ROI.L2.4.BMD,-0.275880236679518,0.0470800174258946,5.85981594237432,0,0
D15MIT143,endo.c,0.524522696029758,0.0895300442339466,5.85862210297979,0,0
D9Mit151,Tb.Th,-0.435234092354534,0.0743396595249807,5.85466889592466,0,0
D9Mit151,BV.TV.TRABECULAR,-0.379019017517782,0.0647774548516603,5.85109461904194,0,0
D15MIT143,pctFat,0.392225149776205,0.0670350263157989,5.85104789738503,0,0
D1Mit7,pQCT.fem.dens,0.612622261201025,0.104919064289693,5.83899852089328,0,0
D15MIT143,Femur.Length,0.559298873397798,0.0958186758705517,5.83705491978824,0,0
D4Mit42,Final.IGF.1,0.274274979925735,0.0471007406007588,5.82315641808224,0,0
D15MIT143,body.weight,0.527766949634321,0.0907255753397973,5.81717941889769,0,0
D1Mit14,BMD.g.cm2,0.600283709729618,0.103321602206981,5.80985676671065,0,0
D9Mit259,TV,-0.716658190079609,0.123467306141403,5.80443691918609,0,0
D15MIT143,STIFFNESS,0.609618668691245,0.105037529150347,5.80381767947589,0,0
D9Mit259,peri.c,-0.681660342970576,0.117523128688626,5.80022290571086,0,0
D1Mit236,cort.thick,0.563575175436106,0.0972164021372812,5.79712027030449,0,0
D17Mit76,STIFFNESS,-0.65376626878098,0.112805663599209,5.79550926719217,0,0
D17MIT175,BV.CORTICAL,-0.644690968122007,0.111337878213542,5.79040106086372,0,0
D8MIT75,endo.c,-0.666701295381446,0.115480886545831,5.77326097264462,0,0
D13Mit16,endo.c,-0.692231276771228,0.119990382626674,5.76905633283101,0,0
D9Mit1001,STIFFNESS,-0.663532387448549,0.115223159412115,5.75867204851862,0,0
D9Mit1001,body.weight,-0.573133614892583,0.0995293449194218,5.75843853244073,0,0
D13Mit16,cort.thick,0.588708145185523,0.102265361259778,5.75667203375018,0,0
D9Mit1001,Femur.Length,-0.60507900956829,0.105126714083543,5.75571123708331,0,0
D9Mit1001,TV,-0.672229602794383,0.116859219312814,5.75247384628618,0,0
D9Mit1001,pctFat,-0.423023503401745,0.0735523634759077,5.75132440904238,0,0
D9Mit253,TV,-0.691537283118708,0.120277371987018,5.74952105865224,0,0
D4Mit42,C.Th,0.562611102465489,0.0978906619351857,5.74734189496031,0,0
D15MIT143,BV.CORTICAL,0.619991833354467,0.107938339434068,5.74394452059528,0,0
D4Mit170,pQCT.fem.dens,0.679100016352435,0.118295707901371,5.74069869820329,0,0
D9Mit1001,peri.c,-0.670663614038607,0.116839687651342,5.74003258242111,0,0
D17Mit76,body.weight,-0.559015451026309,0.0974503165175366,5.73641493432925,0,0
