Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D9Mit90,endo.c,-0.809492148680646,0.121283613429125,6.67437360904235,0,< 0.00323
D4Mit42,BV.CORTICAL,0.796459487730754,0.119350514962072,6.67328069748049,0,< 0.00323
D18Mit123,BV.CORTICAL,0.696816409869531,0.10448164923492,6.66927077598846,0,< 0.00323
D4Mit15,Femur.Length,0.646238276379843,0.0973592012517587,6.63767027739629,0,< 0.00323
sex,Femur.Length,0.47762096741733,0.0719680150480705,6.63657274830085,0,< 0.00323
sex,endo.c,0.565977074600214,0.0855614488045779,6.61486081065439,0,< 0.00323
D17Mit39,TV,-0.838259153151836,0.126855245427663,6.60799756703665,0,< 0.00323
D1Mit17,BV.TV.TRABECULAR,0.649475082210563,0.0988439847212257,6.57070922466661,0,< 0.00323
D11Mit2,C.Th,0.658209123660578,0.100496572182001,6.54956790435154,0,< 0.00323
D11Mit2,pQCT.fem.dens,0.6473597440967,0.0988475638773826,6.54907130437459,0,< 0.00323
D4Mit15,pQCT.fem.dens,0.568336314422662,0.0868847248658007,6.54126850606359,0,< 0.00323
D1Mit540,cort.thick,0.727163657859167,0.111165701668775,6.54125910189272,0,< 0.00323
D13Mit16,cort.thick,0.734187866151399,0.112670988463263,6.51621039422037,0,< 0.00323
D4Mit111,BMD.g.cm2,0.721038597763429,0.110733255989917,6.51149098179761,0,< 0.00323
D4Mit111,BV.CORTICAL,0.784800840251693,0.120696133788796,6.50228649100727,0,< 0.00323
D4Mit170,BV.TV,0.739206544272067,0.113690801989693,6.5019028042311,0,< 0.00323
D1Mit17,Tb.N,0.583745299652679,0.089996308345233,6.48632494361198,0,< 0.00323
D1Mit236,C.Th,0.72207317494821,0.111432038464736,6.47994225804923,0,< 0.00323
D17Mit39,peri.c,-0.778060395192071,0.12020952051415,6.47253555179502,0,< 0.00323
D17Mit164,peri.c,-0.734818408226844,0.113617684709913,6.46746507907612,0,< 0.00323
D17Mit20,peri.c,-0.704075626778677,0.108889731913363,6.46595059430278,0,< 0.00323
sex,cort.thick,-0.469767319171772,0.0727515273663327,6.45714717171927,0,< 0.00323
D1Mit236,pQCT.fem.dens,0.704858990327144,0.109376481552806,6.4443377618327,0,< 0.00323
D18Mit64,C.Th,0.66834136010634,0.104031075895969,6.4244395662569,0,< 0.00323
D14Mit68,BV.TV.TRABECULAR,0.754381386316439,0.117446185538974,6.42320891780771,0,< 0.00323
D17Mit164,endo.c,-0.781914211014513,0.122133360923597,6.40213456095471,0,< 0.00323
D1Mit14,C.Th,0.724317215903137,0.113141491906633,6.40187082295908,0,< 0.00323
D17Mit76,TV,-0.799286553447867,0.124926673224793,6.39804561200176,0,< 0.00323
D17Mit20,TV,-0.80337757007857,0.125628672538246,6.39485838580353,0,< 0.00323
D4Mit15,Tb.Th,0.513441832982682,0.0803182605266938,6.39259154289129,0,< 0.00323
D8Mit292,endo.c,-0.825970828112594,0.129311404012307,6.38745541757465,0,< 0.00323
D13Mit88,cort.thick,0.681962558861047,0.106804897668952,6.3851244066993,0,< 0.00323
D1Mit386,C.Th,0.745738554562954,0.1175994491006,6.34134394562527,0,< 0.00323
D4Mit42,C.Th,0.722518044175323,0.113980058813571,6.33898641302768,0,< 0.00323
D8Mit292,cort.thick,0.726342069312039,0.114610510277365,6.3374822043305,0,< 0.00323
